name	version	top_level_modules	requires_dist
shiboken6	6.10.2		
six	1.17.0	six	
sympy	1.14.0	isympy;sympy	mpmath<1.5,>=1.1.0||pytest>=7.1.0; extra == "dev"||hypothesis>=6.70.0; extra == "dev"
threadpoolctl	3.6.0		
tifffile	2025.5.10	tifffile	numpy||imagecodecs>=2024.12.30; extra == "codecs"||defusedxml; extra == "xml"||lxml; extra == "xml"||zarr<3; extra == "zarr"||fsspec; extra == "zarr"||matplotlib; extra == "plot"||imagecodecs>=2024.12.30; extra == "all"||matplotlib; extra == "all"||defusedxml; extra == "all"||lxml; extra == "all"||zarr<3; extra == "all"||fsspec; extra == "all"||pytest; extra == "test"||imagecodecs; extra == "test"||czifile; extra == "test"||cmapfile; extra == "test"||oiffile; extra == "test"||lfdfiles; extra == "test"||psdtags; extra == "test"||roifile; extra == "test"||lxml; extra == "test"||zarr<3; extra == "test"||dask; extra == "test"||xarray; extra == "test"||fsspec; extra == "test"||defusedxml; extra == "test"||ndtiff; extra == "test"
torch	2.12.1	functorch;torch;torchgen	filelock||typing-extensions>=4.10.0||sympy>=1.13.3||networkx>=2.5.1||jinja2||fsspec>=0.8.5
torchvision	0.27.1	torchvision	numpy||torch (==2.12.1)||pillow (!=8.3.*,>=5.3.0)||gdown (>=4.7.3) ; extra == 'gdown'||scipy ; extra == 'scipy'
tornado	6.5.7	tornado	
tqdm	4.68.3	tqdm	colorama; platform_system == "Windows"||requests; extra == "discord"||envwrap; extra == "discord"||slack-sdk; extra == "slack"||envwrap; extra == "slack"||requests; extra == "telegram"||envwrap; extra == "telegram"||ipywidgets>=6; extra == "notebook"
triton	3.7.1	triton	importlib-metadata; python_version < "3.10"||cmake<4.0,>=3.20; extra == "build"||lit; extra == "build"||autopep8; extra == "tests"||isort; extra == "tests"||numpy; extra == "tests"||pytest; extra == "tests"||pytest-forked; extra == "tests"||pytest-xdist; extra == "tests"||scipy>=1.7.1; extra == "tests"||llnl-hatchet; extra == "tests"||matplotlib; extra == "tutorials"||pandas; extra == "tutorials"||tabulate; extra == "tutorials"
typing_extensions	4.16.0		
tzdata	2026.2	tzdata	
unicodedata2	17.0.1	unicodedata2	pytest; extra == "testing"||coverage; extra == "testing"||pytest-xdist; extra == "testing"||pytest-randomly; extra == "testing"
wheel	0.47.0		packaging >= 24.0
