name	version	top_level_modules	requires_dist
imagecodecs	2025.3.30	imagecodecs	numpy||matplotlib; extra == "all"||tifffile; extra == "all"||numcodecs; extra == "all"||pytest; extra == "test"||tifffile; extra == "test"||czifile; extra == "test"||blosc; extra == "test"||blosc2; extra == "test"||zstd; extra == "test"||lz4; extra == "test"||pyliblzfse; extra == "test"||python-lzf; extra == "test"||python-snappy; extra == "test"||bitshuffle; extra == "test"||zopflipy; extra == "test"||zarr<3; extra == "test"||numcodecs; extra == "test"
imageio	2.37.0	imageio	numpy||pillow>=8.3.2||wheel; extra == "build"||black; extra == "linting"||flake8; extra == "linting"||pytest; extra == "test"||pytest-cov; extra == "test"||fsspec[github]; extra == "test"||sphinx<6; extra == "docs"||numpydoc; extra == "docs"||pydata-sphinx-theme; extra == "docs"||imageio-ffmpeg; extra == "ffmpeg"||psutil; extra == "ffmpeg"||pillow-heif; extra == "pillow-heif"||av; extra == "pyav"||tifffile; extra == "tifffile"||astropy; extra == "fits"||rawpy; extra == "rawpy"||numpy>2; extra == "rawpy"||gdal; extra == "gdal"||itk; extra == "itk"||astropy; extra == "full"||av; extra == "full"||black; extra == "full"||flake8; extra == "full"||fsspec[github]; extra == "full"||gdal; extra == "full"||imageio-ffmpeg; extra == "full"||itk; extra == "full"||numpy>2; extra == "full"||numpydoc; extra == "full"||pillow-heif; extra == "full"||psutil; extra == "full"||pydata-sphinx-theme; extra == "full"||pytest; extra == "full"||pytest-cov; extra == "full"||rawpy; extra == "full"||sphinx<6; extra == "full"||tifffile; extra == "full"||wheel; extra == "full"||pytest; extra == "dev"||pytest-cov; extra == "dev"||fsspec[github]; extra == "dev"||black; extra == "dev"||flake8; extra == "dev"||astropy; extra == "all-plugins"||av; extra == "all-plugins"||imageio-ffmpeg; extra == "all-plugins"||numpy>2; extra == "all-plugins"||pillow-heif; extra == "all-plugins"||psutil; extra == "all-plugins"||rawpy; extra == "all-plugins"||tifffile; extra == "all-plugins"||av; extra == "all-plugins-pypy"||imageio-ffmpeg; extra == "all-plugins-pypy"||pillow-heif; extra == "all-plugins-pypy"||psutil; extra == "all-plugins-pypy"||tifffile; extra == "all-plugins-pypy"
Jinja2	3.1.6		MarkupSafe>=2.0||Babel>=2.7 ; extra == "i18n"
joblib	1.5.3	joblib	
kiwisolver	1.5.0	kiwisolver	
lazy-loader	0.5	lazy_loader	packaging||pytest>=8.0; extra == "test"||pytest-cov>=5.0; extra == "test"||coverage[toml]>=7.2; extra == "test"||pre-commit==4.3.0; extra == "lint"||changelist==0.5; extra == "dev"||spin==0.15; extra == "dev"
llvmlite	0.48.0	llvmlite	
MarkupSafe	3.0.3	markupsafe	
matplotlib	3.10.9		contourpy>=1.0.1||cycler>=0.10||fonttools>=4.22.0||kiwisolver>=1.3.1||numpy>=1.23||packaging>=20.0||pillow>=8||pyparsing>=3||python-dateutil>=2.7||meson-python<0.17.0,>=0.13.1; extra == "dev"||pybind11!=2.13.3,>=2.13.2; extra == "dev"||setuptools_scm<10,>=7; extra == "dev"||setuptools>=64; extra == "dev"
mpmath	1.4.1	mpmath	pytest>=6; extra == "tests"||numpy; extra == "tests"||packaging; extra == "tests"||pytest-timeout; extra == "tests"||matplotlib; extra == "tests"||pexpect; extra == "tests"||ipython; extra == "tests"||hypothesis; extra == "tests"||mpmath[tests]; extra == "develop"||flake518>=1.5; extra == "develop"||pytest-cov>=7; extra == "develop"||wheel; extra == "develop"||build; extra == "develop"||gmpy2>=2.3; extra == "gmpy2"||mpmath[gmpy2]; extra == "gmpy"||python-gmp; extra == "gmp"||sphinx; extra == "docs"||matplotlib; extra == "docs"||sphinxcontrib-autoprogram; extra == "docs"||pytest-xdist; extra == "ci"||diff_cover; extra == "ci"
