model	path	source_url	bytes	sha256	load_status	model_class	device
cpsam	<HPC_HOME>/.cellpose/models/cpsam	https://huggingface.co/mouseland/cellpose-sam/resolve/main/cpsam	1233587898	e1440429eb384f95afe32bcba6510f90d518eaedc917ede549bed6804004abe2	loaded	cellpose.models.CellposeModel	cuda:0
cpsam_v2	<HPC_HOME>/.cellpose/models/cpsam_v2	https://huggingface.co/mouseland/cellpose-sam/resolve/main/cpsam_v2	1233586851	0f1cc3f7ecdd8a037a57c6c48d9d8921391be4cbce3fa9f13c3e3a2e1253c667	loaded	cellpose.models.CellposeModel	cuda:0
